"prvCode","cityCode","deptCode","liCode","areaCode","TOWNCODE","VILLCODE","COUNTYCODE","COUNTYNAME","TOWNNAME","VILLNAME","areaName"
"09","007",NA,NA,"01","","","09007","連江縣",NA,NA,"連江縣第01選區"
"09","007","010",NA,"01","09007010","","09007","連江縣","南竿鄉",NA,"連江縣第01選區"
"09","007",NA,NA,"02","","","09007","連江縣",NA,NA,"連江縣第02選區"
"09","007","020",NA,"02","09007020","","09007","連江縣","北竿鄉",NA,"連江縣第02選區"
"09","007",NA,NA,"03","","","09007","連江縣",NA,NA,"連江縣第03選區"
"09","007","030",NA,"03","09007030","","09007","連江縣","莒光鄉",NA,"連江縣第03選區"
"09","007",NA,NA,"04","","","09007","連江縣",NA,NA,"連江縣第04選區"
"09","007","040",NA,"04","09007040","","09007","連江縣","東引鄉",NA,"連江縣第04選區"
"09","020",NA,NA,"01","","","09020","金門縣",NA,NA,"金門縣第01選區"
"09","020","010",NA,"01","09020010","","09020","金門縣","金城鎮",NA,"金門縣第01選區"
"09","020","040",NA,"01","09020040","","09020","金門縣","金寧鄉",NA,"金門縣第01選區"
"09","020","060",NA,"01","09020060","","09020","金門縣","烏坵鄉",NA,"金門縣第01選區"
"09","020",NA,NA,"02","","","09020","金門縣",NA,NA,"金門縣第02選區"
"09","020","020",NA,"02","09020020","","09020","金門縣","金沙鎮",NA,"金門縣第02選區"
"09","020","030",NA,"02","09020030","","09020","金門縣","金湖鎮",NA,"金門縣第02選區"
"09","020",NA,NA,"03","","","09020","金門縣",NA,NA,"金門縣第03選區"
"09","020","050",NA,"03","09020050","","09020","金門縣","烈嶼鄉",NA,"金門縣第03選區"
"10","002",NA,NA,"01","","","10002","宜蘭縣",NA,NA,"宜蘭縣第01選區"
"10","002","010",NA,"01","10002010","","10002","宜蘭縣","宜蘭市",NA,"宜蘭縣第01選區"
"10","002",NA,NA,"02","","","10002","宜蘭縣",NA,NA,"宜蘭縣第02選區"
"10","002","040",NA,"02","10002040","","10002","宜蘭縣","頭城鎮",NA,"宜蘭縣第02選區"
"10","002",NA,NA,"03","","","10002","宜蘭縣",NA,NA,"宜蘭縣第03選區"
"10","002","050",NA,"03","10002050","","10002","宜蘭縣","礁溪鄉",NA,"宜蘭縣第03選區"
"10","002",NA,NA,"04","","","10002","宜蘭縣",NA,NA,"宜蘭縣第04選區"
"10","002","070",NA,"04","10002070","","10002","宜蘭縣","員山鄉",NA,"宜蘭縣第04選區"
"10","002",NA,NA,"05","","","10002","宜蘭縣",NA,NA,"宜蘭縣第05選區"
"10","002","060",NA,"05","10002060","","10002","宜蘭縣","壯圍鄉",NA,"宜蘭縣第05選區"
"10","002",NA,NA,"06","","","10002","宜蘭縣",NA,NA,"宜蘭縣第06選區"
"10","002","020",NA,"06","10002020","","10002","宜蘭縣","羅東鎮",NA,"宜蘭縣第06選區"
"10","002",NA,NA,"07","","","10002","宜蘭縣",NA,NA,"宜蘭縣第07選區"
"10","002","090",NA,"07","10002090","","10002","宜蘭縣","五結鄉",NA,"宜蘭縣第07選區"
"10","002",NA,NA,"08","","","10002","宜蘭縣",NA,NA,"宜蘭縣第08選區"
"10","002","080",NA,"08","10002080","","10002","宜蘭縣","冬山鄉",NA,"宜蘭縣第08選區"
"10","002",NA,NA,"09","","","10002","宜蘭縣",NA,NA,"宜蘭縣第09選區"
"10","002","100",NA,"09","10002100","","10002","宜蘭縣","三星鄉",NA,"宜蘭縣第09選區"
"10","002","110",NA,"09","10002110","","10002","宜蘭縣","大同鄉",NA,"宜蘭縣第09選區"
"10","002",NA,NA,"10","","","10002","宜蘭縣",NA,NA,"宜蘭縣第10選區"
"10","002","030",NA,"10","10002030","","10002","宜蘭縣","蘇澳鎮",NA,"宜蘭縣第10選區"
"10","002","120",NA,"10","10002120","","10002","宜蘭縣","南澳鄉",NA,"宜蘭縣第10選區"
"10","004",NA,NA,"01","","","10004","新竹縣",NA,NA,"新竹縣第01選區"
"10","004","010",NA,"01","10004010","","10004","新竹縣","竹北市",NA,"新竹縣第01選區"
"10","004",NA,NA,"02","","","10004","新竹縣",NA,NA,"新竹縣第02選區"
"10","004","050",NA,"02","10004050","","10004","新竹縣","湖口鄉",NA,"新竹縣第02選區"
"10","004",NA,NA,"03","","","10004","新竹縣",NA,NA,"新竹縣第03選區"
"10","004","060",NA,"03","10004060","","10004","新竹縣","新豐鄉",NA,"新竹縣第03選區"
"10","004",NA,NA,"04","","","10004","新竹縣",NA,NA,"新竹縣第04選區"
"10","004","040",NA,"04","10004040","","10004","新竹縣","關西鎮",NA,"新竹縣第04選區"
"10","004",NA,NA,"05","","","10004","新竹縣",NA,NA,"新竹縣第05選區"
"10","004","030",NA,"05","10004030","","10004","新竹縣","新埔鎮",NA,"新竹縣第05選區"
"10","004",NA,NA,"06","","","10004","新竹縣",NA,NA,"新竹縣第06選區"
"10","004","080",NA,"06","10004080","","10004","新竹縣","橫山鄉",NA,"新竹縣第06選區"
"10","004","120",NA,"06","10004120","","10004","新竹縣","尖石鄉",NA,"新竹縣第06選區"
"10","004",NA,NA,"07","","","10004","新竹縣",NA,NA,"新竹縣第07選區"
"10","004","070",NA,"07","10004070","","10004","新竹縣","芎林鄉",NA,"新竹縣第07選區"
"10","004",NA,NA,"08","","","10004","新竹縣",NA,NA,"新竹縣第08選區"
"10","004","020",NA,"08","10004020","","10004","新竹縣","竹東鎮",NA,"新竹縣第08選區"
"10","004","130",NA,"08","10004130","","10004","新竹縣","五峰鄉",NA,"新竹縣第08選區"
"10","004",NA,NA,"09","","","10004","新竹縣",NA,NA,"新竹縣第09選區"
"10","004","100",NA,"09","10004100","","10004","新竹縣","寶山鄉",NA,"新竹縣第09選區"
"10","004",NA,NA,"10","","","10004","新竹縣",NA,NA,"新竹縣第10選區"
"10","004","090",NA,"10","10004090","","10004","新竹縣","北埔鄉",NA,"新竹縣第10選區"
"10","004","110",NA,"10","10004110","","10004","新竹縣","峨眉鄉",NA,"新竹縣第10選區"
"10","005",NA,NA,"01","","","10005","苗栗縣",NA,NA,"苗栗縣第01選區"
"10","005","010",NA,"01","10005010","","10005","苗栗縣","苗栗市",NA,"苗栗縣第01選區"
"10","005","090",NA,"01","10005090","","10005","苗栗縣","公館鄉",NA,"苗栗縣第01選區"
"10","005","120",NA,"01","10005120","","10005","苗栗縣","頭屋鄉",NA,"苗栗縣第01選區"
"10","005",NA,NA,"02","","","10005","苗栗縣",NA,NA,"苗栗縣第02選區"
"10","005","100",NA,"02","10005100","","10005","苗栗縣","銅鑼鄉",NA,"苗栗縣第02選區"
"10","005","130",NA,"02","10005130","","10005","苗栗縣","三義鄉",NA,"苗栗縣第02選區"
"10","005","140",NA,"02","10005140","","10005","苗栗縣","西湖鄉",NA,"苗栗縣第02選區"
"10","005",NA,NA,"03","","","10005","苗栗縣",NA,NA,"苗栗縣第03選區"
"10","005","020",NA,"03","10005020","","10005","苗栗縣","苑裡鎮",NA,"苗栗縣第03選區"
"10","005","030",NA,"03","10005030","","10005","苗栗縣","通霄鎮",NA,"苗栗縣第03選區"
"10","005",NA,NA,"04","","","10005","苗栗縣",NA,NA,"苗栗縣第04選區"
"10","005","040",NA,"04","10005040","","10005","苗栗縣","竹南鎮",NA,"苗栗縣第04選區"
"10","005","060",NA,"04","10005060","","10005","苗栗縣","後龍鎮",NA,"苗栗縣第04選區"
"10","005","150",NA,"04","10005150","","10005","苗栗縣","造橋鄉",NA,"苗栗縣第04選區"
"10","005",NA,NA,"05","","","10005","苗栗縣",NA,NA,"苗栗縣第05選區"
"10","005","050",NA,"05","10005050","","10005","苗栗縣","頭份市",NA,"苗栗縣第05選區"
"10","005","110",NA,"05","10005110","","10005","苗栗縣","南庄鄉",NA,"苗栗縣第05選區"
"10","005","160",NA,"05","10005160","","10005","苗栗縣","三灣鄉",NA,"苗栗縣第05選區"
"10","005",NA,NA,"06","","","10005","苗栗縣",NA,NA,"苗栗縣第06選區"
"10","005","070",NA,"06","10005070","","10005","苗栗縣","卓蘭鎮",NA,"苗栗縣第06選區"
"10","005","080",NA,"06","10005080","","10005","苗栗縣","大湖鄉",NA,"苗栗縣第06選區"
"10","005","170",NA,"06","10005170","","10005","苗栗縣","獅潭鄉",NA,"苗栗縣第06選區"
"10","005","180",NA,"06","10005180","","10005","苗栗縣","泰安鄉",NA,"苗栗縣第06選區"
"10","007",NA,NA,"01","","","10007","彰化縣",NA,NA,"彰化縣第01選區"
"10","007","010",NA,"01","10007010","","10007","彰化縣","彰化市",NA,"彰化縣第01選區"
"10","007","080",NA,"01","10007080","","10007","彰化縣","花壇鄉",NA,"彰化縣第01選區"
"10","007","090",NA,"01","10007090","","10007","彰化縣","芬園鄉",NA,"彰化縣第01選區"
"10","007",NA,NA,"02","","","10007","彰化縣",NA,NA,"彰化縣第02選區"
"10","007","020",NA,"02","10007020","","10007","彰化縣","鹿港鎮",NA,"彰化縣第02選區"
"10","007","060",NA,"02","10007060","","10007","彰化縣","福興鄉",NA,"彰化縣第02選區"
"10","007","070",NA,"02","10007070","","10007","彰化縣","秀水鄉",NA,"彰化縣第02選區"
"10","007",NA,NA,"03","","","10007","彰化縣",NA,NA,"彰化縣第03選區"
"10","007","030",NA,"03","10007030","","10007","彰化縣","和美鎮",NA,"彰化縣第03選區"
"10","007","040",NA,"03","10007040","","10007","彰化縣","線西鄉",NA,"彰化縣第03選區"
"10","007","050",NA,"03","10007050","","10007","彰化縣","伸港鄉",NA,"彰化縣第03選區"
"10","007",NA,NA,"04","","","10007","彰化縣",NA,NA,"彰化縣第04選區"
"10","007","100",NA,"04","10007100","","10007","彰化縣","員林市",NA,"彰化縣第04選區"
"10","007","130",NA,"04","10007130","","10007","彰化縣","大村鄉",NA,"彰化縣第04選區"
"10","007","160",NA,"04","10007160","","10007","彰化縣","永靖鄉",NA,"彰化縣第04選區"
"10","007",NA,NA,"05","","","10007","彰化縣",NA,NA,"彰化縣第05選區"
"10","007","110",NA,"05","10007110","","10007","彰化縣","溪湖鎮",NA,"彰化縣第05選區"
"10","007","140",NA,"05","10007140","","10007","彰化縣","埔鹽鄉",NA,"彰化縣第05選區"
"10","007","150",NA,"05","10007150","","10007","彰化縣","埔心鄉",NA,"彰化縣第05選區"
"10","007",NA,NA,"06","","","10007","彰化縣",NA,NA,"彰化縣第06選區"
"10","007","120",NA,"06","10007120","","10007","彰化縣","田中鎮",NA,"彰化縣第06選區"
"10","007","170",NA,"06","10007170","","10007","彰化縣","社頭鄉",NA,"彰化縣第06選區"
"10","007","180",NA,"06","10007180","","10007","彰化縣","二水鄉",NA,"彰化縣第06選區"
"10","007",NA,NA,"07","","","10007","彰化縣",NA,NA,"彰化縣第07選區"
"10","007","190",NA,"07","10007190","","10007","彰化縣","北斗鎮",NA,"彰化縣第07選區"
"10","007","210",NA,"07","10007210","","10007","彰化縣","田尾鄉",NA,"彰化縣第07選區"
"10","007","220",NA,"07","10007220","","10007","彰化縣","埤頭鄉",NA,"彰化縣第07選區"
"10","007","260",NA,"07","10007260","","10007","彰化縣","溪州鄉",NA,"彰化縣第07選區"
"10","007",NA,NA,"08","","","10007","彰化縣",NA,NA,"彰化縣第08選區"
"10","007","200",NA,"08","10007200","","10007","彰化縣","二林鎮",NA,"彰化縣第08選區"
"10","007","230",NA,"08","10007230","","10007","彰化縣","芳苑鄉",NA,"彰化縣第08選區"
"10","007","240",NA,"08","10007240","","10007","彰化縣","大城鄉",NA,"彰化縣第08選區"
"10","007","250",NA,"08","10007250","","10007","彰化縣","竹塘鄉",NA,"彰化縣第08選區"
"10","008",NA,NA,"01","","","10008","南投縣",NA,NA,"南投縣第01選區"
"10","008","010",NA,"01","10008010","","10008","南投縣","南投市",NA,"南投縣第01選區"
"10","008","060",NA,"01","10008060","","10008","南投縣","名間鄉",NA,"南投縣第01選區"
"10","008",NA,NA,"02","","","10008","南投縣",NA,NA,"南投縣第02選區"
"10","008","030",NA,"02","10008030","","10008","南投縣","草屯鎮",NA,"南投縣第02選區"
"10","008","080",NA,"02","10008080","","10008","南投縣","中寮鄉",NA,"南投縣第02選區"
"10","008",NA,NA,"03","","","10008","南投縣",NA,NA,"南投縣第03選區"
"10","008","050",NA,"03","10008050","","10008","南投縣","集集鎮",NA,"南投縣第03選區"
"10","008","090",NA,"03","10008090","","10008","南投縣","魚池鄉",NA,"南投縣第03選區"
"10","008","110",NA,"03","10008110","","10008","南投縣","水里鄉",NA,"南投縣第03選區"
"10","008","120",NA,"03","10008120","","10008","南投縣","信義鄉",NA,"南投縣第03選區"
"10","008",NA,NA,"04","","","10008","南投縣",NA,NA,"南投縣第04選區"
"10","008","040",NA,"04","10008040","","10008","南投縣","竹山鎮",NA,"南投縣第04選區"
"10","008","070",NA,"04","10008070","","10008","南投縣","鹿谷鄉",NA,"南投縣第04選區"
"10","008",NA,NA,"05","","","10008","南投縣",NA,NA,"南投縣第05選區"
"10","008","020",NA,"05","10008020","","10008","南投縣","埔里鎮",NA,"南投縣第05選區"
"10","008","100",NA,"05","10008100","","10008","南投縣","國姓鄉",NA,"南投縣第05選區"
"10","008","130",NA,"05","10008130","","10008","南投縣","仁愛鄉",NA,"南投縣第05選區"
"10","009",NA,NA,"01","","","10009","雲林縣",NA,NA,"雲林縣第01選區"
"10","009","010",NA,"01","10009010","","10009","雲林縣","斗六市",NA,"雲林縣第01選區"
"10","009","090",NA,"01","10009090","","10009","雲林縣","莿桐鄉",NA,"雲林縣第01選區"
"10","009","100",NA,"01","10009100","","10009","雲林縣","林內鄉",NA,"雲林縣第01選區"
"10","009",NA,NA,"02","","","10009","雲林縣",NA,NA,"雲林縣第02選區"
"10","009","020",NA,"02","10009020","","10009","雲林縣","斗南鎮",NA,"雲林縣第02選區"
"10","009","070",NA,"02","10009070","","10009","雲林縣","古坑鄉",NA,"雲林縣第02選區"
"10","009","080",NA,"02","10009080","","10009","雲林縣","大埤鄉",NA,"雲林縣第02選區"
"10","009",NA,NA,"03","","","10009","雲林縣",NA,NA,"雲林縣第03選區"
"10","009","030",NA,"03","10009030","","10009","雲林縣","虎尾鎮",NA,"雲林縣第03選區"
"10","009","050",NA,"03","10009050","","10009","雲林縣","土庫鎮",NA,"雲林縣第03選區"
"10","009","150",NA,"03","10009150","","10009","雲林縣","褒忠鄉",NA,"雲林縣第03選區"
"10","009","170",NA,"03","10009170","","10009","雲林縣","元長鄉",NA,"雲林縣第03選區"
"10","009",NA,NA,"04","","","10009","雲林縣",NA,NA,"雲林縣第04選區"
"10","009","040",NA,"04","10009040","","10009","雲林縣","西螺鎮",NA,"雲林縣第04選區"
"10","009","110",NA,"04","10009110","","10009","雲林縣","二崙鄉",NA,"雲林縣第04選區"
"10","009","120",NA,"04","10009120","","10009","雲林縣","崙背鄉",NA,"雲林縣第04選區"
"10","009",NA,NA,"05","","","10009","雲林縣",NA,NA,"雲林縣第05選區"
"10","009","130",NA,"05","10009130","","10009","雲林縣","麥寮鄉",NA,"雲林縣第05選區"
"10","009","140",NA,"05","10009140","","10009","雲林縣","東勢鄉",NA,"雲林縣第05選區"
"10","009","160",NA,"05","10009160","","10009","雲林縣","臺西鄉",NA,"雲林縣第05選區"
"10","009","180",NA,"05","10009180","","10009","雲林縣","四湖鄉",NA,"雲林縣第05選區"
"10","009",NA,NA,"06","","","10009","雲林縣",NA,NA,"雲林縣第06選區"
"10","009","060",NA,"06","10009060","","10009","雲林縣","北港鎮",NA,"雲林縣第06選區"
"10","009","190",NA,"06","10009190","","10009","雲林縣","口湖鄉",NA,"雲林縣第06選區"
"10","009","200",NA,"06","10009200","","10009","雲林縣","水林鄉",NA,"雲林縣第06選區"
"10","010",NA,NA,"01","","","10010","嘉義縣",NA,NA,"嘉義縣第01選區"
"10","010","010",NA,"01","10010010","","10010","嘉義縣","太保市",NA,"嘉義縣第01選區"
"10","010","110",NA,"01","10010110","","10010","嘉義縣","鹿草鄉",NA,"嘉義縣第01選區"
"10","010","120",NA,"01","10010120","","10010","嘉義縣","水上鄉",NA,"嘉義縣第01選區"
"10","010",NA,NA,"02","","","10010","嘉義縣",NA,NA,"嘉義縣第02選區"
"10","010","050",NA,"02","10010050","","10010","嘉義縣","民雄鄉",NA,"嘉義縣第02選區"
"10","010","070",NA,"02","10010070","","10010","嘉義縣","新港鄉",NA,"嘉義縣第02選區"
"10","010",NA,NA,"03","","","10010","嘉義縣",NA,NA,"嘉義縣第03選區"
"10","010","040",NA,"03","10010040","","10010","嘉義縣","大林鎮",NA,"嘉義縣第03選區"
"10","010","060",NA,"03","10010060","","10010","嘉義縣","溪口鄉",NA,"嘉義縣第03選區"
"10","010","150",NA,"03","10010150","","10010","嘉義縣","梅山鄉",NA,"嘉義縣第03選區"
"10","010",NA,NA,"04","","","10010","嘉義縣",NA,NA,"嘉義縣第04選區"
"10","010","020",NA,"04","10010020","","10010","嘉義縣","朴子市",NA,"嘉義縣第04選區"
"10","010","080",NA,"04","10010080","","10010","嘉義縣","六腳鄉",NA,"嘉義縣第04選區"
"10","010","090",NA,"04","10010090","","10010","嘉義縣","東石鄉",NA,"嘉義縣第04選區"
"10","010",NA,NA,"05","","","10010","嘉義縣",NA,NA,"嘉義縣第05選區"
"10","010","030",NA,"05","10010030","","10010","嘉義縣","布袋鎮",NA,"嘉義縣第05選區"
"10","010","100",NA,"05","10010100","","10010","嘉義縣","義竹鄉",NA,"嘉義縣第05選區"
"10","010",NA,NA,"06","","","10010","嘉義縣",NA,NA,"嘉義縣第06選區"
"10","010","130",NA,"06","10010130","","10010","嘉義縣","中埔鄉",NA,"嘉義縣第06選區"
"10","010","140",NA,"06","10010140","","10010","嘉義縣","竹崎鄉",NA,"嘉義縣第06選區"
"10","010","160",NA,"06","10010160","","10010","嘉義縣","番路鄉",NA,"嘉義縣第06選區"
"10","010","170",NA,"06","10010170","","10010","嘉義縣","大埔鄉",NA,"嘉義縣第06選區"
"10","010","180",NA,"06","10010180","","10010","嘉義縣","阿里山鄉",NA,"嘉義縣第06選區"
"10","013",NA,NA,"01","","","10013","屏東縣",NA,NA,"屏東縣第01選區"
"10","013","010",NA,"01","10013010","","10013","屏東縣","屏東市",NA,"屏東縣第01選區"
"10","013",NA,NA,"02","","","10013","屏東縣",NA,NA,"屏東縣第02選區"
"10","013","060",NA,"02","10013060","","10013","屏東縣","長治鄉",NA,"屏東縣第02選區"
"10","013","070",NA,"02","10013070","","10013","屏東縣","麟洛鄉",NA,"屏東縣第02選區"
"10","013","080",NA,"02","10013080","","10013","屏東縣","九如鄉",NA,"屏東縣第02選區"
"10","013","090",NA,"02","10013090","","10013","屏東縣","里港鄉",NA,"屏東縣第02選區"
"10","013","100",NA,"02","10013100","","10013","屏東縣","鹽埔鄉",NA,"屏東縣第02選區"
"10","013","110",NA,"02","10013110","","10013","屏東縣","高樹鄉",NA,"屏東縣第02選區"
"10","013","260",NA,"02","10013260","","10013","屏東縣","三地門鄉",NA,"屏東縣第02選區"
"10","013","270",NA,"02","10013270","","10013","屏東縣","霧臺鄉",NA,"屏東縣第02選區"
"10","013","280",NA,"02","10013280","","10013","屏東縣","瑪家鄉",NA,"屏東縣第02選區"
"10","013",NA,NA,"03","","","10013","屏東縣",NA,NA,"屏東縣第03選區"
"10","013","020",NA,"03","10013020","","10013","屏東縣","潮州鎮",NA,"屏東縣第03選區"
"10","013","120",NA,"03","10013120","","10013","屏東縣","萬巒鄉",NA,"屏東縣第03選區"
"10","013","130",NA,"03","10013130","","10013","屏東縣","內埔鄉",NA,"屏東縣第03選區"
"10","013","140",NA,"03","10013140","","10013","屏東縣","竹田鄉",NA,"屏東縣第03選區"
"10","013","150",NA,"03","10013150","","10013","屏東縣","新埤鄉",NA,"屏東縣第03選區"
"10","013","160",NA,"03","10013160","","10013","屏東縣","枋寮鄉",NA,"屏東縣第03選區"
"10","013","290",NA,"03","10013290","","10013","屏東縣","泰武鄉",NA,"屏東縣第03選區"
"10","013","300",NA,"03","10013300","","10013","屏東縣","來義鄉",NA,"屏東縣第03選區"
"10","013","310",NA,"03","10013310","","10013","屏東縣","春日鄉",NA,"屏東縣第03選區"
"10","013",NA,NA,"04","","","10013","屏東縣",NA,NA,"屏東縣第04選區"
"10","013","030",NA,"04","10013030","","10013","屏東縣","東港鎮",NA,"屏東縣第04選區"
"10","013","050",NA,"04","10013050","","10013","屏東縣","萬丹鄉",NA,"屏東縣第04選區"
"10","013","170",NA,"04","10013170","","10013","屏東縣","新園鄉",NA,"屏東縣第04選區"
"10","013",NA,NA,"05","","","10013","屏東縣",NA,NA,"屏東縣第05選區"
"10","013","180",NA,"05","10013180","","10013","屏東縣","崁頂鄉",NA,"屏東縣第05選區"
"10","013","190",NA,"05","10013190","","10013","屏東縣","林邊鄉",NA,"屏東縣第05選區"
"10","013","200",NA,"05","10013200","","10013","屏東縣","南州鄉",NA,"屏東縣第05選區"
"10","013","210",NA,"05","10013210","","10013","屏東縣","佳冬鄉",NA,"屏東縣第05選區"
"10","013",NA,NA,"06","","","10013","屏東縣",NA,NA,"屏東縣第06選區"
"10","013","040",NA,"06","10013040","","10013","屏東縣","恆春鎮",NA,"屏東縣第06選區"
"10","013","230",NA,"06","10013230","","10013","屏東縣","車城鄉",NA,"屏東縣第06選區"
"10","013","240",NA,"06","10013240","","10013","屏東縣","滿州鄉",NA,"屏東縣第06選區"
"10","013","250",NA,"06","10013250","","10013","屏東縣","枋山鄉",NA,"屏東縣第06選區"
"10","013","320",NA,"06","10013320","","10013","屏東縣","獅子鄉",NA,"屏東縣第06選區"
"10","013","330",NA,"06","10013330","","10013","屏東縣","牡丹鄉",NA,"屏東縣第06選區"
"10","013",NA,NA,"07","","","10013","屏東縣",NA,NA,"屏東縣第07選區"
"10","013","220",NA,"07","10013220","","10013","屏東縣","琉球鄉",NA,"屏東縣第07選區"
"10","014",NA,NA,"01","","","10014","台東縣",NA,NA,"台東縣第01選區"
"10","014","010",NA,"01","10014010","","10014","台東縣","臺東市",NA,"台東縣第01選區"
"10","014","160",NA,"01","10014160","","10014","台東縣","蘭嶼鄉",NA,"台東縣第01選區"
"10","014",NA,NA,"02","","","10014","台東縣",NA,NA,"台東縣第02選區"
"10","014","040",NA,"02","10014040","","10014","台東縣","卑南鄉",NA,"台東縣第02選區"
"10","014","130",NA,"02","10014130","","10014","台東縣","延平鄉",NA,"台東縣第02選區"
"10","014",NA,NA,"03","","","10014","台東縣",NA,NA,"台東縣第03選區"
"10","014","020",NA,"03","10014020","","10014","台東縣","成功鎮",NA,"台東縣第03選區"
"10","014","070",NA,"03","10014070","","10014","台東縣","東河鄉",NA,"台東縣第03選區"
"10","014","080",NA,"03","10014080","","10014","台東縣","長濱鄉",NA,"台東縣第03選區"
"10","014",NA,NA,"04","","","10014","台東縣",NA,NA,"台東縣第04選區"
"10","014","030",NA,"04","10014030","","10014","台東縣","關山鎮",NA,"台東縣第04選區"
"10","014","050",NA,"04","10014050","","10014","台東縣","鹿野鄉",NA,"台東縣第04選區"
"10","014","060",NA,"04","10014060","","10014","台東縣","池上鄉",NA,"台東縣第04選區"
"10","014","120",NA,"04","10014120","","10014","台東縣","海端鄉",NA,"台東縣第04選區"
"10","014",NA,NA,"05","","","10014","台東縣",NA,NA,"台東縣第05選區"
"10","014","090",NA,"05","10014090","","10014","台東縣","太麻里鄉",NA,"台東縣第05選區"
"10","014","100",NA,"05","10014100","","10014","台東縣","大武鄉",NA,"台東縣第05選區"
"10","014","140",NA,"05","10014140","","10014","台東縣","金峰鄉",NA,"台東縣第05選區"
"10","014","150",NA,"05","10014150","","10014","台東縣","達仁鄉",NA,"台東縣第05選區"
"10","014",NA,NA,"06","","","10014","台東縣",NA,NA,"台東縣第06選區"
"10","014","110",NA,"06","10014110","","10014","台東縣","綠島鄉",NA,"台東縣第06選區"
"10","015",NA,NA,"01","","","10015","花蓮縣",NA,NA,"花蓮縣第01選區"
"10","015","010",NA,"01","10015010","","10015","花蓮縣","花蓮市",NA,"花蓮縣第01選區"
"10","015",NA,NA,"02","","","10015","花蓮縣",NA,NA,"花蓮縣第02選區"
"10","015","040",NA,"02","10015040","","10015","花蓮縣","新城鄉",NA,"花蓮縣第02選區"
"10","015","110",NA,"02","10015110","","10015","花蓮縣","秀林鄉",NA,"花蓮縣第02選區"
"10","015",NA,NA,"03","","","10015","花蓮縣",NA,NA,"花蓮縣第03選區"
"10","015","020",NA,"03","10015020","","10015","花蓮縣","鳳林鎮",NA,"花蓮縣第03選區"
"10","015","050",NA,"03","10015050","","10015","花蓮縣","吉安鄉",NA,"花蓮縣第03選區"
"10","015","060",NA,"03","10015060","","10015","花蓮縣","壽豐鄉",NA,"花蓮縣第03選區"
"10","015","070",NA,"03","10015070","","10015","花蓮縣","光復鄉",NA,"花蓮縣第03選區"
"10","015","080",NA,"03","10015080","","10015","花蓮縣","豐濱鄉",NA,"花蓮縣第03選區"
"10","015","120",NA,"03","10015120","","10015","花蓮縣","萬榮鄉",NA,"花蓮縣第03選區"
"10","015",NA,NA,"04","","","10015","花蓮縣",NA,NA,"花蓮縣第04選區"
