中港上市公司名稱,項目,幣別,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,總額
鷹美國際控股有限公司（寶成）,補助款,台幣,,,42364000,36756000,26584000,13612000,15896000,11280000,18900000,33248000,15488000,214128000
鴻海集團*,補助款,台幣,209695500,176620500,261387000,320008500,142285500,177975000,506677500,535815000,1992880600,3688633400,4656962700,12668941200
環旭電子（日月光）,補助款,台幣,,33225800,33032600,50453807,92511337,64005890,77803326,88957264,214956555,98206897,163579987,916733464
優德精密,補助款,台幣,,,,,,,1757200,2304223,27670969,7062892,17770437,56565721
鼎捷軟件,補助款,台幣,,,,,21758000,29378069,47383825,30960300,26461666,26919603,19266922,202128386
達芙妮國際控股有限公司,補助款,台幣,18920000,118492000,121952000,142276000,199580000,148768000,58588000,24832000,23520000,9560000,76272000,942760000
新萊應材,補助款,台幣,,,,44419270,5600960,5199578,2284130,6583156,7322572,7318812,38612731,117341209
統一企業中國控股公司,補助款,台幣,173130200,137742400,141404000,262430000,444925800,1085894400,114793000,177656600,199106400,624983600,695055400,4057121800
惠倫晶體,補助款,台幣,,,,,,15769112,18030861,4687914,9765176,27845560,23830643,99929267
富滿電子,補助款,台幣,,,,,,,,10903992,20376551,27882024,62298350,121460917
凱普松國際電子有限公司,補助款,台幣,39537000,2783000,0,6900000,10304000,1131600,11095200,33041800,17148800,30769400,47274200,199985000
敏實集團有限公司,補助款,台幣,206029400,19991600,209065400,343486600,253556600,251150800,504035800,417105000,344816000,645338600,532298200,3726874000
康師傅控股有限公司（頂新）,補助款,台幣,537642000,1051942500,1227177000,898411500,1133307000,1506141000,1577488500,1417374000,1397025000,410508600,764244000,11921261100
海鷗住工,補助款,台幣,30812465,14297200,30812465,7311732,47104858,21634394,11166269,32512947,43241553,68279651,61266256,368439791
晉億實業,補助款,台幣,,16886066,22978035,44529523,117415570,86852927,74448107,28534702,68360200,15246061,33220680,508471870
悦心健康,補助款,台幣,29904278,113249590,181871989,46749220,143931033,253966819,55418040,8703720,34007209,24915440,57973992,950691330
哈森商貿,補助款,台幣,,,,,,,126218802,187367473,149463304,37530194,201307514,701887288
勁勝智能,補助款,台幣,,9956088,23586868,7492659,24349585,12977598,45018489,101380677,161744044,235518502,183891695,805916206
信隆健康,補助款,台幣,,6998527,3618102,15731489,5768576,14468073,6346773,10871333,11398918,29990252,33431363,138623410
金鴻順,補助款,台幣,,,,,,,,,,18778499,15328710,34107209
羅普斯金,補助款,台幣,,,5110600,441600,885500,7992043,1071800,156893387,371570896,209820441,29006543,782792809
怡球金屬資源,補助款,台幣,,,29428445,21399352,38196730,5825702,13319995,7624551,23782000,5879352,12574882,158031008
味丹國際有限公司,補助款,台幣,,,,,,,,,,12348000,6898500,19246500
亞洲水泥中國控股公司（遠東）,補助款,台幣,93725000,235704000,77123600,335105400,336858000,287564400,350777600,258855800,230248400,330864200,435238200,2972064600
滬電股份,補助款,台幣,,,36800000,36800000,9683543,8585247,183010443,250395664,896567204,295177193,291362096,2008381390
宏昌電子（台塑）,補助款,台幣,,,25426168,12226971,16426596,902783,14133500,24817805,7882204,1240414,1009108,104065548
艾艾精工,補助款,台幣,,,,,,,,,14455639,24012520,15054707,53522866
自然美（東森）,補助款,台幣,8680000,29960000,37436000,22276000,27568000,27860000,8536000,34108000,25992000,16748000,8920000,248084000
优德精密,補助款,台幣,,,,,,,,2304223,27670969,7062892,17770437,54808521
亞翔集成,補助款,台幣,,,,,,,,3680,86163,14993711,2988863,18072416
漢鐘精機,補助款,台幣,14058244,12269396,41266536,16417906,3721587,20624579,23493290,30147968,30739342,37123290,37237814,267099951
弘訊科技,補助款,台幣,,,,,,8819048,7247286,11526873,43602484,21990990,48346645,141533326
巨騰國際控股有限公司,補助款,台幣,,28014000,22305400,11265400,40355800,91788400,592217800,200523200,670500600,659690600,222796400,2539457600
天福,補助款,台幣,,,23308200,19113000,46303600,60062200,50296400,40489200,47016600,53410600,78627800,418627600
友佳國際控股有限公司,補助款,台幣,9425400,3560400,8395000,3974400,14319800,30447400,7130000,0,281428000,102037200,104820200,565537800
元祖股份,補助款,台幣,,,,,,,16625839,24958602,25633745,23363158,25926216,116507560
中國旺旺控股有限公司*（旺旺）,補助款,台幣,474327000,1025640000,980343000,1493604000,1345144500,1744911000,1886346000,2281387500,1696429400,2870703600,,15798836000
大洋集團控股有限公司,補助款,台幣,1056000,5444000,7412000,6368000,4484000,18388000,7920000,1084000,496000,132000,1804000,54588000
大成食品亞洲有限公司,補助款,台幣,24475500,17001600,35461400,18924400,85702600,125524800,41179200,1936600,8606600,18482800,19724800,397020300
九興控股有限公司,補助款,台幣,,,,,,510600,0,192307500,205128000,227209500,219271500,844427100