年份,學制,招生名額,報名人數,錄取人數,報到人數,註冊人數
2011,博士班,82,41,28,28,23
2011,碩士班,571,295,220,205,181
2011,學士班,1488,1569,1017,742,724
2011,總數,2141,1905,1265,975,928
2012,博士班,67,46,30,28,25
2012,碩士班,508,430,299,282,265
2012,學士班,1566,2153,999,677,661
2012,總數,2141,2629,1328,987,951
2013,博士班,227,141,113,103,71
2013,碩士班,891,722,576,528,467
2013,二年制學士班,955,95,93,93,75
2013,學士班,1732,1880,1555,1234,1209
2013,總數,3578,2697,2224,1855,1751
2014,博士班,304,237,189,173,141
2014,碩士班,1408,814,734,676,585
2014,二年制學士班,1000,95,88,81,67
2014,學士班,1988,3404,1964,1804,1760
2014,總數,4396,4313,2786,2561,2412
2015,博士班,341,301,242,229,178
2015,碩士班,1225,1084,922,866,769
2015,二年制學士班,1000,137,125,119,105
2015,學士班,2134,3572,2119,2024,1967
2015,總數,4359,4793,3166,3009,2841
2016,博士班,362,338,262,251,199
2016,碩士班,1202,944,840,806,734
2016,二年制學士班,1500,329,313,285,245
2016,學士班,2136,2824,2075,1693,1657
2016,總數,4838,4097,3228,2784,2636
2017,博士班,383,402,303,294,238
2017,碩士班,1117,1105,939,907,802
2017,二年制學士班,1500,225,225,208,191
2017,學士班,1000,1906,987,944,908
2017,總數,3617,3236,2151,2059,1901
2018,博士班,366,559,333,329,270
2018,碩士班,1134,1253,1015,996,911
2018,二年制學士班,1500,318,312,286,252
2018,學士班,800,1578,760,733,707
2018,總數,3434,3149,2087,2015,1870
2019,博士班,367,795,361,361,305
2019,碩士班,1133,1688,1093,1079,984
2019,二年制學士班,1500,325,318,302,268
2019,學士班,800,2131,751,732,702
2019,總數,3433,4144,2162,2113,1954