選舉類型,選舉年,屆數,,,,,,,,,,,,,,,,,,,,,
臺灣省參議會,1945,第一屆,,,,,,,,,,,,,,,,,,,,,
台灣省臨時省議會,1951,第一屆,,,,,,,,,,,,,,,,,,,,,
台灣省臨時省議會,1954,第二屆,,,,,,,,,,,,,,,,,,,,,
台灣省臨時省議會,1957,第三屆,,,,,,,,,,,,,,,,,,,,,
台灣省議會,1959,第一屆,,,,,,,,,,,,,,,,,,,,,
台灣省議會,1960,第二屆,,,,,,,,,,,,,,,,,,,,,
台灣省議會,1963,第三屆,,,,,,,,,,,,,,,,,,,,,
台灣省議會,1968,第四屆,,,,,,,,,,,,,,,,,,,,,
台灣省議會,1973,第五屆,,,,,,,,,,,,,,,,,,,,,
台灣省議會,1977,第六屆,,,,,,,,,,,,,,,,,,,,,
台灣省議會,1981,第七屆,,,,,,,,,,,,,,,,,,,,,
台灣省議會,1985,第八屆,,,,,,,,,,,,,,,,,,,,,
台灣省議會,1989,第九屆,,,,,,,,,,,,,,,,,,,,,
第十屆台灣省議會,1994,第十屆,,,,,,,,,,,,,,,,,,,,,
台灣省諮議會,1998,第一屆,,,,,,,,,,,,,,,,,,,,,
台灣省諮議會,2001,第二屆,,,,,,,,,,,,,,,,,,,,,
台灣省諮議會,2004,第三屆,,,,,,,,,,,,,,,,,,,,,
台灣省諮議會,2007,第四屆,,,,,,,,,,,,,,,,,,,,,
台灣省諮議會,2010,第五屆,,,,,,,,,,,,,,,,,,,,,
台灣省諮議會,2013,第六屆,,,,,,,,,,,,,,,,,,,,,
台灣省諮議會,2016,第七屆,,,,,,,,,,,,,,,,,,,,,
第七屆台北市議員選舉,1994,,,,,,,,,,,,,,,,,,,,,,
第四屆高雄市議員選舉,1994,,,,,,,,,,,,,,,,,,,,,,
第八屆台北市議員選舉,1998,,,,,,,,,,,,,,,,,,,,,,
第五屆高雄市議員選舉,1998,,,,,,,,,,,,,,,,,,,,,,
第九屆台北市議員選舉,2002,,,,,,,,,,,,,,,,,,,,,,
第六屆高雄市議員選舉,2002,,,,,,,,,,,,,,,,,,,,,,
第十屆台北市議員選舉,2006,,,,,,,,,,,,,,,,,,,,,,
第七屆高雄市議員選舉,2006,,,,,,,,,,,,,,,,,,,,,,
第十一屆台北市議員選舉,2010,,,,,,,,,,,,,,,,,,,,,,
第一屆高雄市議員選舉,2010,,,,,,,,,,,,,,,,,,,,,,
第一屆新北市議員選舉,2010,,,,,,,,,,,,,,,,,,,,,,
第一屆台中市議員選舉,2010,,,,,,,,,,,,,,,,,,,,,,
第一屆台南市議員選舉,2010,,,,,,,,,,,,,,,,,,,,,,
第十二屆台北市議員選舉,2014,,,,,,,,,,,,,,,,,,,,,,
第二屆高雄市議員選舉,2014,,,,,,,,,,,,,,,,,,,,,,
第二屆新北市議員選舉,2014,,,,,,,,,,,,,,,,,,,,,,
第二屆台中市議員選舉,2014,,,,,,,,,,,,,,,,,,,,,,
第二屆台南市議員選舉,2014,,,,,,,,,,,,,,,,,,,,,,
第一屆桃園市議員選舉,2014,,,,,,,,,,,,,,,,,,,,,,
第十四屆縣市議員選舉,1998,,,,,,,,,,,,,,,,,,,,,,
第十五屆縣市議員選舉,2002,,,,,,,,,,,,,,,,,,,,,,
第十六屆縣市議員選舉,2005,,,,,,,,,,,,,,,,,,,,,,
第十七屆縣市議員選舉,2009,,,,,,,,,,,,,,,,,,,,,,
第十八屆縣市議員選舉,2014,,,,,,,,,,,,,,,,,,,,,,
第五屆福建省金門縣、連江縣縣市議員選舉,2009,,,,,,,,,,,,,,,,,,,,,,
第八屆新竹市、嘉義市縣市議員選舉,2009,,,,,,,,,,,,,,,,,,,,,,
議員選舉登記,2018,,,,,,,,,,,,,,,,,,,,,,