country,level,area,coordinates,label,note
Algeria,3,africa,27.5231 3.1685,阿爾及利亞,
Angola,1,africa,-12.2916 17.5029,安哥拉,
Egypt,3,africa,26.1939 28.8939,埃及,
Libya,3,africa,25.9354 20.7569,利比亞,
Morocco,3,africa,31.7 -7.1325,摩洛哥,
Tunisia,3,africa,33.7774 9.0109,突尼西亞,
Benin,1,africa,10.6795 2.2845,貝南,
Botswana,1,africa,-21.6721 23.9051,波札那,
Burkina Faso,1,africa,13.0516 -0.6541,布吉納法索,
Burundi,1,africa,-3.407 29.8885,布隆迪,
Cameroon,1,africa,4.5495 11.3105,喀麥隆,
Cape Verde,1,africa,15.0819 -23.6368,維德角,
Central African Republic,1,africa,7.2596 21.6691,中非共和國,
Chad,1,africa,17.1223 19.3602,查德,
Comoros,1,africa,-11.79 43.356,葛摩,
Congo,1,africa,0.0213 16.1533,剛果,
Cote d'Ivoire,1,africa,7.5538 -5.6121,象牙海岸,
Democratic Republic of the Congo,1,africa,-1.6864 23.7526,剛果民主共和國,
Djibouti,1,africa,12.169 42.904,吉布地,
Equatorial Guinea,1,africa,1.647 10.2955,赤道幾內亞,
Eritrea,1,africa,15.9194 38.4016,厄利垂亞,
Eswatini,1,africa,-26.4899 31.3955,史瓦帝尼,
Ethiopia,1,africa,8.83 38.362,衣索比亞,
Gabon,1,africa,-0.647 11.6875,加彭,
Gambia,1,africa,13.5035 -14.2265,甘比亞,
Guinea,1,africa,10.6071 -13.1511,幾內亞,
Guinea-Bissau,1,africa,12.0227 -15.1106,幾內亞比索,
Kenya,1,africa,0.4145 37.8745,肯亞,
Lesotho,1,africa,-29.6255 28.1698,賴索托,
Liberia,1,africa,6.7929 -9.9769,賴比瑞亞,
Madagascar,1,africa,-18.821 46.8655,馬達加斯加,
Malawi,1,africa,-13.3315 33.8445,馬拉威,
Mali,1,africa,18.4654 -1.9417,馬利,
Mauritania,1,africa,19.1695 -9.4755,茅利塔尼亞,
Mauritius,1,africa,-20.2793 57.5696,模里西斯,
Mozambique,1,africa,-13.497 38.127,莫三比克,
Namibia,1,africa,-20.7238 17.0299,納米比亞,
Niger,1,africa,17.3457 9.3245,尼日,
Nigeria,1,africa,9.6551 8.1061,奈及利亞,
Rwanda,1,africa,-2.0136 29.9188,盧安達,
Senegal,1,africa,14.9983 -14.9588,塞內加爾,
Sierra Leone,1,africa,8.5306 -11.7953,獅子山,
Somalia,1,africa,2.7589 42.8847,索馬利亞,
South Africa,1,africa,-29.6482 23.1067,南非,
South Sudan,1,africa,7.2928 30.1985,南蘇丹,
Sudan,1,africa,16.5644 29.0451,蘇丹,
Tanzania,1,africa,-5.6989 34.2839,坦尚尼亞,
Togo,1,africa,8.8015 0.9075,多哥,
Uganda,1,africa,1.9676 32.9896,烏干達,
Zambia,1,africa,-14.9226 26.1418,尚比亞,
Zimbabwe,1,africa,-18.907 29.7885,辛巴威,
Bahamas,1,America,24.5065 -77.916,巴哈馬,
Barbados,1,America,13.1645 -59.5405,巴貝多,
Belize,1,America,17.197 -88.7035,貝里斯,
Canada,3,America,58.838 -120.439,加拿大,
Costa Rica,1,America,9.9656 -84.1755,哥斯大黎加,
Cuba,1,America,20.2717 -75.3897,古巴,
Dominica,1,America,15.4365 -61.357,多米尼克,
Dominican Republic,1,America,18.8845 -70.4623,多明尼加共和國,
El Salvador,1,America,13.7262 -88.8729,薩爾瓦多,
Grenada,1,America,12.1178 -61.6791,格瑞那達,
Guatemala,1,America,15.2365 -90.7275,瓜地馬拉,
Honduras,1,America,14.8229 -86.5899,宏都拉斯,
Jamaica,1,America,18.1125 -77.269,牙買加,
Mexico,1,America,23.63 -101.97,墨西哥,
Nicaragua,1,America,12.8482 -85.0204,尼加拉瓜,
Panama,1,America,8.4165 -81.7705,巴拿馬,
Saint Lucia,1,America,,聖露西亞,
Trinidad and Tobago,1,America,10.4282 -61.3304,千里達及托巴哥,
United States,3,America,39.382 -99.3421,美國,
Armenia,3,asia,40.2165 45.0003,亞美尼亞,
Azerbaijan,3,asia,40.2805 47.6804,亞塞拜然,
China,3,asia,32.205 109.444,中國,
Georgia,3,asia,42.1618 43.4818,喬治亞,
Hong Kong,3,asia,22.411 114.1485,香港,
Japan,3,asia,36.8513 139.1112,日本,
Kazakhstan,3,asia,48.9437 67.6303,哈薩克,
"Korea, North",3,asia,39.6625 126.2595,北韓,
"Korea, South",3,asia,36.0655 127.7925,南韓,
Kyrgyzstan,3,asia,41.7909 74.9911,吉爾吉斯,
Macao,3,asia,22.1348 113.5571,澳門,
Mongolia,3,asia,46.1689 105.3854,蒙古,
Singapore,3,asia,1.3565 103.8215,新加坡,
Tajikistan,3,asia,38.3213 72.1918,塔吉克,
Turkmenistan,3,asia,39.4791 59.5154,土庫曼,
Uzbekistan,3,asia,41.8936 63.8434,烏茲別克,
Bangladesh,3,asia,23.5391 89.8049,孟加拉,
Bhutan,3,asia,27.5075 90.459,不丹,
Cambodia,3,asia,12.5285 104.3905,柬埔寨,
India,3,asia,22.1596 78.9305,印度,
Indonesia,3,asia,-0.9517 114.2118,印尼,
Lao PDR,3,asia,19.9325 102.4435,寮國,
Malaysia,3,asia,5.3893 117.3568,馬來西亞,
Myanmar,3,asia,21.5841 96.1867,緬甸,
Nepal,3,asia,28.9136 81.5974,尼泊爾,
Philippines,3,asia,17.3711 121.4954,菲律賓,
Sri Lanka,3,asia,7.7004 80.6672,斯里蘭卡,
Thailand,3,asia,15.4439 100.9692,泰國,
Timor-Leste,3,asia,-8.7676 125.9664,東帝汶,
Vietnam,3,asia,21.5866 105.3047,越南,
Albania,3,eu,41.1413 20.0325,阿爾巴尼亞,
Andorra,1,eu,42.5413 1.5609,安道爾,
Austria,3,eu,47.614 14.0762,奧地利,
Belarus,3,eu,53.744 27.947,白俄羅斯,
Belgium,3,eu,50.6522 4.5809,比利時,
Bosnia and Herzegovina,3,eu,44.1809 17.8168,波士尼亞與赫塞哥維納,
Bulgaria,3,eu,42.7345 23.8815,保加利亞,
Croatia,3,eu,46.001 16.172,克羅埃西亞,
Cyprus,3,eu,34.8725 33.131,賽普勒斯,
Czech Republic,3,eu,49.836 15.5465,捷克共和國,
Denmark,3,eu,56.2196 9.3108,丹麥,
Estonia,3,eu,58.5425 26.5455,愛沙尼亞,
Finland,3,eu,63.0704 27.7396,芬蘭,
France,3,eu,46.6113 2.3336,法國,
Germany,3,eu,51.143 9.829,德國,
Greece,3,eu,38.4414 22.1814,希臘,
Hungary,3,eu,47.192 20.498,匈牙利,
Iceland,3,eu,65.0115 -18.968,冰島,
Ireland,3,eu,53.1805 -8.01,愛爾蘭,
Italy,3,eu,45.3889 10.7776,義大利,
Kosovo,3,eu,42.5794 20.8954,科索沃,
Latvia,3,eu,56.7925 26.9435,拉脫維亞,
Liechtenstein,3,eu,47.122 9.546,列支敦斯登,
Lithuania,3,eu,55.1395 23.822,立陶宛,
Luxembourg,3,eu,49.7275 5.9585,盧森堡,
Malta,3,eu,35.8975 14.4185,馬爾他,
Maldives,3,asia,,馬爾地夫,
Montenegro,3,eu,42.7891 19.2862,蒙特內哥羅,
Netherlands,3,eu,52.157 5.2035,荷蘭,
North Macedonia,3,eu,41.6059 21.6977,北馬其頓,
Norway,3,eu,60.5366 7.4496,挪威,
Poland,3,eu,52.1484 19.311,波蘭,
Portugal,3,eu,38.7993 -8.3502,葡萄牙,
Romania,3,eu,45.857 24.9433,羅馬尼亞,
Russia,3,eu,63.4218 94.1005,俄羅斯,
Serbia,3,eu,44.2085 20.7935,塞爾維亞,
Slovakia,3,eu,48.7266 19.5075,斯洛伐克,
Slovenia,3,eu,46.152 15.1315,斯洛維尼亞,
Spain,3,eu,40.3544 -3.611,西班牙,
Sweden,3,eu,58.581 14.246,瑞典,
Switzerland,3,eu,46.7919 8.1183,瑞士,
Ukraine,3,eu,48.8464 33.5486,烏克蘭,
United Kingdom,3,eu,52.4072 -1.7451,英國,
Afghanistan,3,mid-east,34.4754 66.8303,阿富汗,
Bahrain,3,mid-east,26.0165 50.5475,巴林,
Iran,3,mid-east,31.9382 55.5426,伊朗,
Iraq,3,mid-east,33.242 42.935,伊拉克,
Israel,3,mid-east,30.6283 34.7087,以色列,
Jordan,3,mid-east,30.7659 36.4909,約旦,
Kuwait,3,mid-east,29.3073 47.6003,科威特,
Lebanon,3,mid-east,33.9117 35.8708,黎巴嫩,
Oman,3,mid-east,22.019 57.368,阿曼,
Pakistan,3,mid-east,30.8325 71.3748,巴基斯坦,
Palestine,3,mid-east,31.9409 35.2734,巴勒斯坦,
Qatar,3,mid-east,25.3217 51.1836,卡達,
Saudi Arabia,3,mid-east,23.7603 45.0093,沙烏地阿拉伯,
Syria,3,mid-east,35.0126 38.5441,敘利亞,
Turkey,3,mid-east,39.3196 34.3321,土耳其,
United Arab Emirates,3,mid-east,23.3865 54.2485,阿拉伯聯合大公國,
Yemen,3,mid-east,15.3921 45.4111,葉門,
Australia,3,Oceania,-23.079 132.842,澳洲,
Fiji,1,Oceania,-17.814 177.759,斐濟,
Kiribati,1,Oceania,,吉里巴斯,
Marshall Islands,1,Oceania,,馬紹爾群島,
Micronesia,1,Oceania,,密克羅尼西亞,
Nauru,1,Oceania,-0.521 166.9325,諾魯,
New Zealand,3,Oceania,-44.7201 169.9667,紐西蘭,
Palau,1,Oceania,,帛琉,
Papua New Guinea,1,Oceania,-6.1227 143.5162,巴布亞紐幾內亞,
Samoa,1,Oceania,,薩摩亞,
Solomon Islands,3,Oceania,,所羅門群島,
Tonga,1,Oceania,,東加,
Tuvalu,1,Oceania,,吐瓦魯,
Vanuatu,1,Oceania,,萬那杜,
Antigua and Barb.,1,south-america,17.079 -61.804,安地卡及巴布達,
Argentina,1,south-america,-31.9447 -64.1398,阿根廷,
Bolivia,1,south-america,-16.7289 -64.6413,玻利維亞,
Brazil,1,south-america,-12.4328 -48.9943,巴西,
Chile,1,south-america,-45.7382 -72.9381,智利,
Colombia,1,south-america,3.6525 -73.3121,哥倫比亞,
Ecuador,1,south-america,-1.4547 -78.3841,厄瓜多,
Falkland Islands,1,south-america,-51.7 -59.475,福克蘭群島,
French Guiana,1,south-america,3.9045 -53.0915,法屬圭亞那,
Guyana,1,south-america,4.8175 -58.9745,蓋亞那,
Paraguay,1,south-america,-21.9074 -60.1206,巴拉圭,
Peru,1,south-america,-13.1699 -73.0464,秘魯,
Suriname,1,south-america,4.1199 -55.9116,蘇利南,
Uruguay,1,south-america,-32.781 -56.0032,烏拉圭,
Venezuela,1,south-america,7.1583 -64.0124,委內瑞拉,
Brunei,3,asia,4.6904 114.9152,汶萊,
Ghana,1,africa,6.862 -1.092,迦納,
Greenland,1,America,74.4231 -39.7294,格陵蘭,
Haiti,1,America,19.4448 -72.1017,海地,
Kiribati,1,Oceania,1.8719 202.6221,吉里巴斯,
Moldova,3,eu,47.2036 28.4105,摩爾多瓦,
Monaco,1,eu,43.7399 7.3989,摩納哥,
Puerto Rico,1,America,18.234 -66.955,波多黎各,
San Marino,1,eu,43.9365 12.4423,聖馬利諾,
Taiwan,,asia,23.741 120.975,台灣,
Vatican,1,eu,41.9035 12.4535,梵蒂岡,
Western Sahara,1,africa,24.328 -13.735,西撒哈拉,