年份,屏東小雨日,台南小雨日,台中小雨日
1918,36,27,54
1919,50,24,61
1920,55,30,93
1921,54,26,88
1922,50,19,55
1923,55,21,22
1924,35,24,33
1925,40,34,36
1926,60,29,31
1927,46,30,50
1928,67,34,38
1929,39,27,27
1930,51,29,37
1931,51,23,31
1932,49,21,24
1933,37,21,35
1934,39,32,22
1935,56,31,33
1936,59,26,34
1937,67,34,33
1938,55,37,34
1939,50,38,29
1940,55,34,33
1941,47,37,44
1942,43,36,34
1943,69,36,17
1944,60,38,27
1945,39,34,49
1946,51,22,27
1947,46,31,30
1948,37,39,17
1949,29,28,21
1950,47,35,32
1951,58,34,32
1952,55,34,36
1953,46,40,48
1954,40,24,48
1955,39,25,33
1956,57,40,42
1957,50,32,40
1958,51,24,32
1959,40,27,35
1960,40,36,35
1961,50,32,36
1962,39,26,32
1963,31,25,30
1964,54,42,34
1965,45,33,24
1966,44,24,36
1967,43,27,38
1968,35,33,23
1969,33,16,30
1970,44,29,47
1971,43,32,36
1972,64,31,35
1973,34,26,40
1974,43,40,43
1975,56,39,51
1976,41,19,29
1977,48,27,24
1978,54,40,40
1979,45,29,38
1980,57,22,27
1981,51,19,26
1982,41,18,35
1983,44,29,29
1984,40,34,24
1985,40,33,25
1986,47,28,27
1987,35,20,30
1988,18,19,33
1989,35,23,32
1990,33,19,24
1991,26,23,30
1992,18,19,31
1993,11,16,19
1994,17,21,31
1995,16,25,28
1996,24,20,28
1997,18,22,29
1998,22,21,28
1999,18,21,28
2000,19,13,30
2001,16,19,28
2002,17,10,23
2003,17,7,18
2004,11,22,13
2005,11,17,30
2006,17,15,26
2007,25,18,27
2008,31,16,43
2009,24,9,16
2010,18,9,25
2011,19,17,33
2012,21,17,32
2013,28,11,44
2014,17,19,33
2015,14,4,26
2016,20,12,34
2017,25,15,14
2018,14,18,7